PeriodEnd,PeriodStart,Period,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2016-12-31T02:00:00Z,2016-12-31T01:00:00Z,PT60M,4.3,0.1,89,0.0,-5.8,0,0,0,0,0,0,5.6,48.0,0.0,1019.2,295,6.2,132
2016-12-31T03:00:00Z,2016-12-31T02:00:00Z,PT60M,4.4,0.1,79,0.0,-5.3,0,0,0,0,0,0,5.6,49.4,0.0,1020.1,296,6.2,144
2016-12-31T04:00:00Z,2016-12-31T03:00:00Z,PT60M,4.2,0.1,63,0.0,-5.0,0,0,0,0,0,0,5.6,50.9,0.0,1020.8,296,5.9,155
2016-12-31T05:00:00Z,2016-12-31T04:00:00Z,PT60M,3.8,0.1,31,0.0,-5.0,0,0,0,0,0,0,5.7,52.7,0.0,1021.5,295,5.4,164
2016-12-31T06:00:00Z,2016-12-31T05:00:00Z,PT60M,3.3,0.1,-20,0.0,-5.0,0,0,0,0,0,0,5.8,54.4,0.0,1022.1,293,4.9,165
2016-12-31T07:00:00Z,2016-12-31T06:00:00Z,PT60M,2.8,0.1,-57,0.0,-5.0,0,0,0,0,0,0,5.9,56.6,0.0,1022.5,290,4.3,157
2016-12-31T08:00:00Z,2016-12-31T07:00:00Z,PT60M,2.3,0.1,-76,0.0,-4.9,0,0,0,0,0,0,6.0,59.0,0.0,1022.7,285,3.8,146
2016-12-31T09:00:00Z,2016-12-31T08:00:00Z,PT60M,1.8,0.1,-87,0.0,-4.8,0,0,0,0,0,0,6.1,61.6,0.0,1022.8,278,3.2,135
2016-12-31T10:00:00Z,2016-12-31T09:00:00Z,PT60M,1.1,0.1,-96,0.0,-4.9,0,0,0,0,0,0,6.2,64.6,0.0,1023.0,267,2.8,123
2016-12-31T11:00:00Z,2016-12-31T10:00:00Z,PT60M,0.1,0.1,-104,0.0,-5.1,0,0,0,0,0,0,6.3,68.1,0.0,1023.3,253,2.5,111
2016-12-31T12:00:00Z,2016-12-31T11:00:00Z,PT60M,-0.8,0.1,-112,0.0,-5.3,0,0,0,0,0,0,6.3,71.8,0.0,1023.6,238,2.5,99
2016-12-31T13:00:00Z,2016-12-31T12:00:00Z,PT60M,-0.3,0.1,-121,0.0,-5.1,11,182,18,28,90,9,6.3,70.3,0.0,1023.9,221,2.7,89
2016-12-31T14:00:00Z,2016-12-31T13:00:00Z,PT60M,1.4,0.1,-131,0.0,-4.5,42,641,130,172,402,169,6.2,64.4,0.0,1024.2,209,3.3,79
2016-12-31T15:00:00Z,2016-12-31T14:00:00Z,PT60M,3.3,0.1,-142,0.6,-4.0,62,790,265,327,634,549,6.1,58.9,0.0,1024.4,201,4.0,70
2016-12-31T16:00:00Z,2016-12-31T15:00:00Z,PT60M,4.7,0.1,-155,9.4,-3.6,145,605,258,403,663,517,6.4,54.8,0.0,1024.2,198,4.7,64
2016-12-31T17:00:00Z,2016-12-31T16:00:00Z,PT60M,5.7,0.1,-170,8.2,-3.5,153,644,317,470,765,490,6.8,51.8,0.0,1023.4,198,5.6,61
2016-12-31T18:00:00Z,2016-12-31T17:00:00Z,PT60M,6.7,0.1,174,23.9,-3.3,265,256,128,393,510,395,7.3,48.9,0.0,1022.6,199,6.4,60
2016-12-31T19:00:00Z,2016-12-31T18:00:00Z,PT60M,7.3,0.1,159,32.8,-3.0,284,57,25,309,321,320,8.0,48.2,0.0,1021.9,201,6.8,63
2016-12-31T20:00:00Z,2016-12-31T19:00:00Z,PT60M,7.5,0.1,145,40.3,-2.4,203,25,10,214,214,221,9.0,49.4,0.0,1021.5,206,6.8,69
2016-12-31T21:00:00Z,2016-12-31T20:00:00Z,PT60M,7.7,0.1,133,41.6,-1.9,117,0,0,117,109,117,10.0,50.7,0.0,1021.0,210,6.9,77
2016-12-31T22:00:00Z,2016-12-31T21:00:00Z,PT60M,7.9,0.1,123,49.5,-1.6,27,0,0,27,25,27,10.9,51.4,0.0,1020.6,213,7.0,86
2016-12-31T23:00:00Z,2016-12-31T22:00:00Z,PT60M,8.0,0.1,114,40.9,-1.3,0,0,0,0,0,0,11.8,51.7,0.0,1020.4,216,7.1,97
2017-01-01T00:00:00Z,2016-12-31T23:00:00Z,PT60M,8.2,0.1,106,80.0,-1.1,0,0,0,0,0,0,12.6,52.0,0.0,1020.1,218,7.2,108
2017-01-01T01:00:00Z,2017-01-01T00:00:00Z,PT60M,8.3,0.1,98,80.0,-1.0,0,0,0,0,0,0,13.7,51.9,0.0,1019.8,221,7.3,120
